classification,location_evidence,cell_index,tree_id,direction_index_zero_based,direction,q_seeder,q_oracle,triangle_aabb_candidate_count,port_boundary_labels,x_m,y_m,z_m
SEEDER_ONLY_INTERSECTION,BOUNDARY_CAP_CELL,153019,87763163,9,0 1 1,1.0,,0,inlet,0.0001021827715790346,5.717635942453769e-05,0.00015870639894086848
SEEDER_ONLY_INTERSECTION,BOUNDARY_CAP_CELL,153020,87770185,5,0 0 1,1.0,,0,inlet,0.0001021827715790346,5.737635942453769e-05,0.00015870639894086848
SEEDER_ONLY_INTERSECTION,BOUNDARY_CAP_CELL,153020,87770185,7,0 -1 1,1.0,,0,inlet,0.0001021827715790346,5.737635942453769e-05,0.00015870639894086848
SEEDER_ONLY_INTERSECTION,BOUNDARY_CAP_CELL,153021,87770187,7,0 -1 1,1.0,,0,inlet,0.0001021827715790346,5.7576359424537685e-05,0.00015870639894086848
SEEDER_ONLY_INTERSECTION,BOUNDARY_CAP_CELL,153024,87770316,5,0 0 1,1.0,,0,inlet,0.00010238277157903459,5.8376359424537684e-05,0.00015870639894086848
SEEDER_ONLY_INTERSECTION,BOUNDARY_CAP_CELL,153025,87770337,9,0 1 1,1.0,,3,inlet,0.00010258277157903459,5.857635942453769e-05,0.00015870639894086848
SEEDER_ONLY_INTERSECTION,BOUNDARY_CAP_CELL,153025,87770337,12,-1 0 1,1.0,,2,inlet,0.00010258277157903459,5.857635942453769e-05,0.00015870639894086848
SEEDER_ONLY_INTERSECTION,BOUNDARY_CAP_CELL,153026,87770340,5,0 0 1,1.0,,0,inlet,0.0001027827715790346,5.877635942453769e-05,0.00015870639894086848
SEEDER_ONLY_INTERSECTION,BOUNDARY_CAP_CELL,153026,87770340,12,-1 0 1,1.0,,2,inlet,0.0001027827715790346,5.877635942453769e-05,0.00015870639894086848
SEEDER_ONLY_INTERSECTION,BOUNDARY_CAP_CELL,153027,87771274,5,0 0 1,1.0,,0,inlet,0.0001031827715790346,5.8976359424537685e-05,0.00015870639894086848
SEEDER_ONLY_INTERSECTION,BOUNDARY_CAP_CELL,162402,89560673,5,0 0 1,1.0,,0,inlet,0.00010418277157903459,5.6176359424537685e-05,0.00015870639894086848
SEEDER_ONLY_INTERSECTION,BOUNDARY_CAP_CELL,162402,89560673,7,0 -1 1,1.0,,3,inlet,0.00010418277157903459,5.6176359424537685e-05,0.00015870639894086848
SEEDER_ONLY_INTERSECTION,BOUNDARY_CAP_CELL,162402,89560673,13,1 0 1,1.0,,1,inlet,0.00010418277157903459,5.6176359424537685e-05,0.00015870639894086848
SEEDER_ONLY_INTERSECTION,BOUNDARY_CAP_CELL,162403,89560674,5,0 0 1,1.0,,1,inlet,0.0001043827715790346,5.6176359424537685e-05,0.00015870639894086848
SEEDER_ONLY_INTERSECTION,BOUNDARY_CAP_CELL,162403,89560674,12,-1 0 1,1.0,,1,inlet,0.0001043827715790346,5.6176359424537685e-05,0.00015870639894086848
SEEDER_ONLY_INTERSECTION,BOUNDARY_CAP_CELL,162405,89560842,13,1 0 1,1.0,,2,inlet,0.00010478277157903459,5.657635942453769e-05,0.00015870639894086848
SEEDER_ONLY_INTERSECTION,BOUNDARY_CAP_CELL,162406,89560851,5,0 0 1,1.0,,0,inlet,0.0001049827715790346,5.6776359424537686e-05,0.00015870639894086848
