classification,location_evidence,cell_index,tree_id,direction_index_zero_based,direction,q_seeder,q_oracle,triangle_aabb_candidate_count,port_boundary_labels,x_m,y_m,z_m
SEEDER_ONLY_INTERSECTION,BOUNDARY_CAP_CELL,348091,505109014,4,0 1 0,1.0,,0,outlet_01,0.00011492892542518845,0.00015446097480915308,0.00016536024509471463
SEEDER_ONLY_INTERSECTION,BOUNDARY_CAP_CELL,348091,505109014,17,1 1 0,1.0,,2,outlet_01,0.00011492892542518845,0.00015446097480915308,0.00016536024509471463
SEEDER_ONLY_INTERSECTION,BOUNDARY_CAP_CELL,348188,505109536,1,0 -1 0,1.0,,2,outlet_01,0.00011339046388672691,0.0001536917440399223,0.0001665910143254839
SEEDER_ONLY_INTERSECTION,BOUNDARY_CAP_CELL,348188,505109536,7,0 -1 1,1.0,,2,outlet_01,0.00011339046388672691,0.0001536917440399223,0.0001665910143254839
SEEDER_ONLY_INTERSECTION,BOUNDARY_CAP_CELL,348194,505109569,5,0 0 1,1.0,,0,outlet_01,0.00011354431004057306,0.00015353789788607615,0.00016674486047933002
SEEDER_ONLY_INTERSECTION,BOUNDARY_CAP_CELL,348195,505109574,0,-1 0 0,1.0,,0,outlet_01,0.00011369815619441921,0.00015353789788607615,0.0001668987066331762
SEEDER_ONLY_INTERSECTION,BOUNDARY_CAP_CELL,348195,505109574,14,-1 -1 0,1.0,,1,outlet_01,0.00011369815619441921,0.00015353789788607615,0.0001668987066331762
SEEDER_ONLY_INTERSECTION,BOUNDARY_CAP_CELL,348561,505109999,5,0 0 1,1.0,,0,outlet_01,0.00011385200234826536,0.00015338405173223,0.0001668987066331762
SEEDER_ONLY_INTERSECTION,BOUNDARY_CAP_CELL,348609,505110170,4,0 1 0,1.0,,2,outlet_01,0.00011339046388672691,0.00015415328250146078,0.0001658217835562531
SEEDER_ONLY_INTERSECTION,BOUNDARY_CAP_CELL,348610,505110174,0,-1 0 0,1.0,,0,outlet_01,0.00011339046388672691,0.00015415328250146078,0.00016597562971009926
SEEDER_ONLY_INTERSECTION,BOUNDARY_CAP_CELL,348610,505110174,8,0 1 -1,1.0,,2,outlet_01,0.00011339046388672691,0.00015415328250146078,0.00016597562971009926
SEEDER_ONLY_INTERSECTION,BOUNDARY_CAP_CELL,348612,505110190,12,-1 0 1,1.0,,2,outlet_01,0.00011339046388672691,0.00015384559019376845,0.00016628332201779156
SEEDER_ONLY_INTERSECTION,BOUNDARY_CAP_CELL,348613,505110191,1,0 -1 0,1.0,,0,outlet_01,0.00011323661773288076,0.0001539994363476146,0.00016628332201779156
SEEDER_ONLY_INTERSECTION,BOUNDARY_CAP_CELL,348613,505110191,2,0 0 -1,1.0,,0,outlet_01,0.00011323661773288076,0.0001539994363476146,0.00016628332201779156
SEEDER_ONLY_INTERSECTION,BOUNDARY_CAP_CELL,348613,505110191,6,0 -1 -1,1.0,,0,outlet_01,0.00011323661773288076,0.0001539994363476146,0.00016628332201779156
SEEDER_ONLY_INTERSECTION,BOUNDARY_CAP_CELL,348613,505110191,7,0 -1 1,1.0,,0,outlet_01,0.00011323661773288076,0.0001539994363476146,0.00016628332201779156
SEEDER_ONLY_INTERSECTION,BOUNDARY_CAP_CELL,348616,505110410,0,-1 0 0,1.0,,0,outlet_01,0.00011339046388672691,0.00015384559019376845,0.0001664371681716377
SEEDER_ONLY_INTERSECTION,BOUNDARY_CAP_CELL,348616,505110410,10,-1 0 -1,1.0,,2,outlet_01,0.00011339046388672691,0.00015384559019376845,0.0001664371681716377
SEEDER_ONLY_INTERSECTION,BOUNDARY_CAP_CELL,348876,505112416,9,0 1 1,1.0,,2,outlet_01,0.00011523661773288075,0.0001543071286553069,0.00016536024509471463
SEEDER_ONLY_INTERSECTION,BOUNDARY_CAP_CELL,348894,505112444,4,0 1 0,1.0,,0,outlet_01,0.00011523661773288075,0.0001543071286553069,0.0001655140912485608
SEEDER_ONLY_INTERSECTION,BOUNDARY_CAP_CELL,348898,505112451,15,-1 1 0,1.0,,1,outlet_01,0.0001153904638867269,0.0001543071286553069,0.0001655140912485608
SEEDER_ONLY_INTERSECTION,BOUNDARY_CAP_CELL,348900,505112455,3,1 0 0,1.0,,0,outlet_01,0.0001153904638867269,0.0001543071286553069,0.00016566793740240693
SEEDER_ONLY_INTERSECTION,BOUNDARY_CAP_CELL,348900,505112455,8,0 1 -1,1.0,,1,outlet_01,0.0001153904638867269,0.0001543071286553069,0.00016566793740240693
SEEDER_ONLY_INTERSECTION,BOUNDARY_CAP_CELL,348901,505112525,4,0 1 0,1.0,,2,outlet_01,0.0001150827715790346,0.00015446097480915308,0.00016536024509471463
SEEDER_ONLY_INTERSECTION,BOUNDARY_CAP_CELL,348901,505112525,13,1 0 1,1.0,,4,outlet_01,0.0001150827715790346,0.00015446097480915308,0.00016536024509471463
SEEDER_ONLY_INTERSECTION,BOUNDARY_CAP_CELL,348901,505112525,15,-1 1 0,1.0,,2,outlet_01,0.0001150827715790346,0.00015446097480915308,0.00016536024509471463
SEEDER_ONLY_INTERSECTION,BOUNDARY_CAP_CELL,349042,505113572,17,1 1 0,1.0,,1,outlet_01,0.00011554431004057305,0.0001536917440399223,0.0001664371681716377
SEEDER_ONLY_INTERSECTION,BOUNDARY_CAP_CELL,349044,505113576,1,0 -1 0,1.0,,2,outlet_01,0.00011554431004057305,0.0001536917440399223,0.0001665910143254839
SEEDER_ONLY_INTERSECTION,BOUNDARY_CAP_CELL,349044,505113576,7,0 -1 1,1.0,,2,outlet_01,0.00011554431004057305,0.0001536917440399223,0.0001665910143254839
SEEDER_ONLY_INTERSECTION,BOUNDARY_CAP_CELL,349044,505113576,11,1 0 -1,1.0,,1,outlet_01,0.00011554431004057305,0.0001536917440399223,0.0001665910143254839
SEEDER_ONLY_INTERSECTION,BOUNDARY_CAP_CELL,349049,505113583,5,0 0 1,1.0,,0,outlet_01,0.0001150827715790346,0.00015338405173223,0.0001668987066331762
SEEDER_ONLY_INTERSECTION,BOUNDARY_CAP_CELL,349050,505113601,3,1 0 0,1.0,,1,outlet_01,0.0001153904638867269,0.00015353789788607615,0.00016674486047933002
SEEDER_ONLY_INTERSECTION,BOUNDARY_CAP_CELL,349050,505113601,7,0 -1 1,1.0,,3,outlet_01,0.0001153904638867269,0.00015353789788607615,0.00016674486047933002
SEEDER_ONLY_INTERSECTION,BOUNDARY_CAP_CELL,349063,505114210,13,1 0 1,1.0,,3,outlet_01,0.00011554431004057305,0.00015415328250146078,0.0001658217835562531
SEEDER_ONLY_INTERSECTION,BOUNDARY_CAP_CELL,349064,505114212,2,0 0 -1,1.0,,0,outlet_01,0.00011554431004057305,0.0001543071286553069,0.0001658217835562531
SEEDER_ONLY_INTERSECTION,BOUNDARY_CAP_CELL,349064,505114212,16,1 -1 0,1.0,,4,outlet_01,0.00011554431004057305,0.0001543071286553069,0.0001658217835562531
SEEDER_ONLY_INTERSECTION,BOUNDARY_CAP_CELL,349065,505114214,3,1 0 0,1.0,,0,outlet_01,0.00011554431004057305,0.00015415328250146078,0.00016597562971009926
SEEDER_ONLY_INTERSECTION,BOUNDARY_CAP_CELL,349065,505114214,11,1 0 -1,1.0,,3,outlet_01,0.00011554431004057305,0.00015415328250146078,0.00016597562971009926
SEEDER_ONLY_INTERSECTION,BOUNDARY_CAP_CELL,399165,625262833,3,1 0 0,1.0,,1,outlet_03,0.00017815969465595767,0.00013723020557838384,0.0001292063989408685
SEEDER_ONLY_INTERSECTION,BOUNDARY_CAP_CELL,399165,625262833,13,1 0 1,1.0,,1,outlet_03,0.00017815969465595767,0.00013723020557838384,0.0001292063989408685
SEEDER_ONLY_INTERSECTION,BOUNDARY_CAP_CELL,399166,625262837,3,1 0 0,1.0,,0,outlet_03,0.00017815969465595767,0.00013723020557838384,0.00012936024509471465
SEEDER_ONLY_INTERSECTION,BOUNDARY_CAP_CELL,399166,625262837,11,1 0 -1,1.0,,1,outlet_03,0.00017815969465595767,0.00013723020557838384,0.00012936024509471465
SEEDER_ONLY_INTERSECTION,BOUNDARY_CAP_CELL,399203,625263094,1,0 -1 0,1.0,,0,outlet_03,0.00017831354080980383,0.00013723020557838384,0.00012997562971009925
SEEDER_ONLY_INTERSECTION,BOUNDARY_CAP_CELL,399203,625263094,6,0 -1 -1,1.0,,0,outlet_03,0.00017831354080980383,0.00013723020557838384,0.00012997562971009925
SEEDER_ONLY_INTERSECTION,BOUNDARY_CAP_CELL,399355,625277138,6,0 -1 -1,1.0,,0,outlet_03,0.00017831354080980383,0.00013723020557838384,0.0001301294758639454
SEEDER_ONLY_INTERSECTION,BOUNDARY_CAP_CELL,399355,625277138,12,-1 0 1,1.0,,2,outlet_03,0.00017831354080980383,0.00013723020557838384,0.0001301294758639454
SEEDER_ONLY_INTERSECTION,BOUNDARY_CAP_CELL,399357,625277142,0,-1 0 0,1.0,,1,outlet_03,0.00017831354080980383,0.00013723020557838384,0.00013028332201779155
SEEDER_ONLY_INTERSECTION,BOUNDARY_CAP_CELL,399357,625277142,9,0 1 1,1.0,,0,outlet_03,0.00017831354080980383,0.00013723020557838384,0.00013028332201779155
SEEDER_ONLY_INTERSECTION,BOUNDARY_CAP_CELL,399357,625277142,12,-1 0 1,1.0,,1,outlet_03,0.00017831354080980383,0.00013723020557838384,0.00013028332201779155
SEEDER_ONLY_INTERSECTION,BOUNDARY_CAP_CELL,399358,625277143,13,1 0 1,1.0,,2,outlet_03,0.00017815969465595767,0.00013738405173223,0.00013028332201779155
SEEDER_ONLY_INTERSECTION,BOUNDARY_CAP_CELL,399359,625277144,5,0 0 1,1.0,,0,outlet_03,0.00017831354080980383,0.00013738405173223,0.00013028332201779155
SEEDER_ONLY_INTERSECTION,BOUNDARY_CAP_CELL,399370,625277171,3,1 0 0,1.0,,2,outlet_03,0.00017815969465595767,0.00013738405173223,0.0001304371681716377
SEEDER_ONLY_INTERSECTION,BOUNDARY_CAP_CELL,399379,625277189,3,1 0 0,1.0,,1,outlet_03,0.00017815969465595767,0.00013753789788607617,0.00013059101432548388
SEEDER_ONLY_INTERSECTION,BOUNDARY_CAP_CELL,399517,625317207,0,-1 0 0,1.0,,2,outlet_03,0.00017815969465595767,0.0001379994363476146,0.0001284371681716377
SEEDER_ONLY_INTERSECTION,BOUNDARY_CAP_CELL,399517,625317207,1,0 -1 0,1.0,,0,outlet_03,0.00017815969465595767,0.0001379994363476146,0.0001284371681716377
SEEDER_ONLY_INTERSECTION,BOUNDARY_CAP_CELL,399517,625317207,14,-1 -1 0,1.0,,2,outlet_03,0.00017815969465595767,0.0001379994363476146,0.0001284371681716377
SEEDER_ONLY_INTERSECTION,BOUNDARY_CAP_CELL,399531,625317233,1,0 -1 0,1.0,,1,outlet_03,0.00017815969465595767,0.00013784559019376847,0.00012859101432548386
SEEDER_ONLY_INTERSECTION,BOUNDARY_CAP_CELL,399531,625317233,2,0 0 -1,1.0,,0,outlet_03,0.00017815969465595767,0.00013784559019376847,0.00012859101432548386
SEEDER_ONLY_INTERSECTION,BOUNDARY_CAP_CELL,399548,625317372,2,0 0 -1,1.0,,1,outlet_03,0.00017800584850211152,0.00013892251327069153,0.00012859101432548386
SEEDER_ONLY_INTERSECTION,BOUNDARY_CAP_CELL,399556,625318250,0,-1 0 0,1.0,,2,outlet_03,0.00017800584850211152,0.00013907635942453768,0.00012859101432548386
SEEDER_ONLY_INTERSECTION,BOUNDARY_CAP_CELL,399556,625318250,4,0 1 0,1.0,,0,outlet_03,0.00017800584850211152,0.00013907635942453768,0.00012859101432548386
