cell_index,tree_id,center_x_m,center_y_m,center_z_m,normalInd,normal_vector,classification,rim_distance_m,rim_distance_over_dx,inside_physical_inlet
183966,87650887,0.00010338277157903459,5.7176359424537689e-05,0.0001585063989408685,3,"(0,0,-1)",clean_cardinal,1.1007025088543296e-06,5.5035125442716479,True
183967,87650888,0.00010358277157903459,5.7176359424537689e-05,0.0001585063989408685,3,"(0,0,-1)",clean_cardinal,1.1886818028490904e-06,5.9434090142454519,True
184800,87657837,0.0001021827715790346,5.7376359424537687e-05,0.0001585063989408685,3,"(0,0,-1)",clean_cardinal,7.58747980869878e-08,0.37937399043493902,True
184801,87657838,0.00010238277157903459,5.7376359424537687e-05,0.0001585063989408685,3,"(0,0,-1)",clean_cardinal,2.7423765670424566e-07,1.3711882835212283,True
184802,87657839,0.0001021827715790346,5.7576359424537685e-05,0.0001585063989408685,3,"(0,0,-1)",clean_cardinal,8.7347215301183244e-08,0.43673607650591623,True
184803,87657840,0.00010238277157903459,5.7576359424537685e-05,0.0001585063989408685,3,"(0,0,-1)",clean_cardinal,2.8729276857137747e-07,1.4364638428568874,True
184808,87657845,0.00010258277157903459,5.7376359424537687e-05,0.0001585063989408685,3,"(0,0,-1)",clean_cardinal,4.7260051532151788e-07,2.3630025766075895,True
184809,87657846,0.0001027827715790346,5.7376359424537687e-05,0.0001585063989408685,3,"(0,0,-1)",clean_cardinal,6.69336788960413e-07,3.3466839448020651,True
184810,87657847,0.00010258277157903459,5.7576359424537685e-05,0.0001585063989408685,3,"(0,0,-1)",clean_cardinal,4.8723832184157155e-07,2.4361916092078579,True
184811,87657848,0.0001027827715790346,5.7576359424537685e-05,0.0001585063989408685,3,"(0,0,-1)",clean_cardinal,6.871838751117658e-07,3.4359193755588291,True
184816,87657853,0.0001021827715790346,5.777635942453769e-05,0.0001585063989408685,3,"(0,0,-1)",clean_cardinal,7.1160084264859298e-08,0.35580042132429651,True
184817,87657854,0.00010238277157903459,5.777635942453769e-05,0.0001585063989408685,3,"(0,0,-1)",clean_cardinal,2.6770792927931013e-07,1.3385396463965507,True
184818,87657855,0.0001021827715790346,5.7976359424537688e-05,0.0001585063989408685,3,"(0,0,-1)",clean_cardinal,2.812268255023439e-08,0.14061341275117195,True
184819,87657856,0.00010238277157903459,5.7976359424537688e-05,0.0001585063989408685,3,"(0,0,-1)",clean_cardinal,2.1972219696008687e-07,1.0986109848004344,True
184824,87657861,0.00010258277157903459,5.777635942453769e-05,0.0001585063989408685,3,"(0,0,-1)",clean_cardinal,4.6425577429377556e-07,2.3212788714688779,True
184825,87657862,0.0001027827715790346,5.777635942453769e-05,0.0001585063989408685,3,"(0,0,-1)",clean_cardinal,6.6027648776950995e-07,3.3013824388475497,True
184826,87657863,0.00010258277157903459,5.7976359424537688e-05,0.0001585063989408685,3,"(0,0,-1)",clean_cardinal,4.0817346931467006e-07,2.0408673465733504,True
184827,87657864,0.0001027827715790346,5.7976359424537688e-05,0.0001585063989408685,3,"(0,0,-1)",clean_cardinal,5.9273273110696776e-07,2.9636636555348388,True
184864,87657901,0.00010298277157903459,5.7376359424537687e-05,0.0001585063989408685,3,"(0,0,-1)",clean_cardinal,8.6394203197094148e-07,4.3197101598547079,True
184865,87657902,0.00010318277157903459,5.7376359424537687e-05,0.0001585063989408685,3,"(0,0,-1)",clean_cardinal,1.0550901833737719e-06,5.2754509168688593,True
184866,87657903,0.00010298277157903459,5.7576359424537685e-05,0.0001585063989408685,3,"(0,0,-1)",clean_cardinal,8.8695741394320457e-07,4.4347870697160232,True
184867,87657904,0.00010318277157903459,5.7576359424537685e-05,0.0001585063989408685,3,"(0,0,-1)",clean_cardinal,1.0862961418301215e-06,5.4314807091506072,True
184872,87657909,0.00010338277157903459,5.7376359424537687e-05,0.0001585063989408685,3,"(0,0,-1)",clean_cardinal,1.2361347030866435e-06,6.1806735154332175,True
184873,87657910,0.00010358277157903459,5.7376359424537687e-05,0.0001585063989408685,3,"(0,0,-1)",clean_cardinal,1.3772445486810845e-06,6.8862227434054226,True
184874,87657911,0.00010338277157903459,5.7576359424537685e-05,0.0001585063989408685,3,"(0,0,-1)",clean_cardinal,1.2856348697170248e-06,6.4281743485851246,True
184875,87657912,0.00010358277157903459,5.7576359424537685e-05,0.0001585063989408685,3,"(0,0,-1)",clean_cardinal,1.4839942509824451e-06,7.4199712549122259,True
184880,87657917,0.00010298277157903459,5.777635942453769e-05,0.0001585063989408685,3,"(0,0,-1)",clean_cardinal,8.5187600217934952e-07,4.2593800108967477,True
184881,87657918,0.00010318277157903459,5.777635942453769e-05,0.0001585063989408685,3,"(0,0,-1)",clean_cardinal,1.038908888230898e-06,5.1945444411544903,True
184882,87657919,0.00010298277157903459,5.7976359424537688e-05,0.0001585063989408685,3,"(0,0,-1)",clean_cardinal,7.6622772177857738e-07,3.8311386088928869,True
184883,87657920,0.00010318277157903459,5.7976359424537688e-05,0.0001585063989408685,3,"(0,0,-1)",clean_cardinal,9.2455413888549098e-07,4.6227706944274551,True
184888,87657925,0.00010338277157903459,5.777635942453769e-05,0.0001585063989408685,3,"(0,0,-1)",clean_cardinal,1.205080169928312e-06,6.0254008496415601,True
184889,87657926,0.00010358277157903459,5.777635942453769e-05,0.0001585063989408685,3,"(0,0,-1)",clean_cardinal,1.3379705534400151e-06,6.689852767200076,True
184890,87657927,0.00010338277157903459,5.7976359424537688e-05,0.0001585063989408685,3,"(0,0,-1)",clean_cardinal,1.0655736574916121e-06,5.3278682874580605,True
184891,87657928,0.00010358277157903459,5.7976359424537688e-05,0.0001585063989408685,3,"(0,0,-1)",clean_cardinal,1.1459518539166617e-06,5.7297592695833082,True
184922,87657965,0.0001021827715790346,5.8176359424537686e-05,0.0001585063989408685,3,"(0,0,-1)",clean_cardinal,3.8002687809257669e-08,0.19001343904628834,False
184923,87657966,0.00010238277157903459,5.8176359424537686e-05,0.0001585063989408685,3,"(0,0,-1)",clean_cardinal,1.4641167247879501e-07,0.73205836239397504,True
184924,87657967,0.0001021827715790346,5.8376359424537684e-05,0.0001585063989408685,7,"(0,-1,-1)",diagonal,1.2501166072433246e-07,0.62505830362166237,False
184925,87657968,0.00010238277157903459,5.8376359424537684e-05,0.0001585063989408685,9,"(0,1,-1)",diagonal,4.6849242586006697e-08,0.2342462129300335,True
184930,87657973,0.00010258277157903459,5.8176359424537686e-05,0.0001585063989408685,3,"(0,0,-1)",clean_cardinal,3.2190202116292702e-07,1.6095101058146351,True
184931,87657974,0.0001027827715790346,5.8176359424537686e-05,0.0001585063989408685,3,"(0,0,-1)",clean_cardinal,4.8570169073575638e-07,2.428508453678782,True
184932,87657975,0.00010258277157903459,5.8376359424537684e-05,0.0001585063989408685,3,"(0,0,-1)",clean_cardinal,2.0517565969291381e-07,1.0258782984645691,True
184933,87657976,0.0001027827715790346,5.8376359424537684e-05,0.0001585063989408685,3,"(0,0,-1)",clean_cardinal,3.6350207679982754e-07,1.8175103839991378,True
184935,87657982,0.00010238277157903459,5.8576359424537689e-05,0.0001585063989408685,7,"(0,-1,-1)",diagonal,7.5350371349922088e-08,0.37675185674961048,False
184940,87657989,0.00010258277157903459,5.8576359424537689e-05,0.0001585063989408685,9,"(0,1,-1)",diagonal,8.297604575699163e-08,0.41488022878495817,True
184941,87657990,0.0001027827715790346,5.8576359424537689e-05,0.0001585063989408685,3,"(0,0,-1)",clean_cardinal,2.2276851710993399e-07,1.1138425855496701,True
184942,87657991,0.00010258277157903459,5.8776359424537687e-05,0.0001585063989408685,7,"(0,-1,-1)",diagonal,5.9954745051603654e-08,0.29977372525801826,False
184943,87657992,0.0001027827715790346,5.8776359424537687e-05,0.0001585063989408685,9,"(0,1,-1)",diagonal,6.5607516445851428e-08,0.32803758222925716,True
184980,87658029,0.00010298277157903459,5.8176359424537686e-05,0.0001585063989408685,3,"(0,0,-1)",clean_cardinal,6.4402810784265929e-07,3.2201405392132965,True
184981,87658030,0.00010318277157903459,5.8176359424537686e-05,0.0001585063989408685,3,"(0,0,-1)",clean_cardinal,7.8525397721859797e-07,3.9262698860929901,True
184982,87658031,0.00010298277157903459,5.8376359424537684e-05,0.0001585063989408685,3,"(0,0,-1)",clean_cardinal,5.0493429694556493e-07,2.5246714847278247,True
184983,87658032,0.00010318277157903459,5.8376359424537684e-05,0.0001585063989408685,3,"(0,0,-1)",clean_cardinal,6.2014806502763231e-07,3.1007403251381618,True
184988,87658037,0.00010338277157903459,5.8176359424537686e-05,0.0001585063989408685,3,"(0,0,-1)",clean_cardinal,8.9088975820871731e-07,4.4544487910435864,True
184989,87658038,0.00010358277157903459,5.8176359424537686e-05,0.0001585063989408685,3,"(0,0,-1)",clean_cardinal,9.4901644711991201e-07,4.7450822355995603,True
184990,87658039,0.00010338277157903459,5.8376359424537684e-05,0.0001585063989408685,3,"(0,0,-1)",clean_cardinal,7.0559310768927449e-07,3.5279655384463728,True
184991,87658040,0.00010358277157903459,5.8376359424537684e-05,0.0001585063989408685,3,"(0,0,-1)",clean_cardinal,7.5065399376295566e-07,3.7532699688147786,True
184996,87658045,0.00010298277157903459,5.8576359424537689e-05,0.0001585063989408685,3,"(0,0,-1)",clean_cardinal,3.4530969336368832e-07,1.7265484668184417,True
184997,87658046,0.00010318277157903459,5.8576359424537689e-05,0.0001585063989408685,3,"(0,0,-1)",clean_cardinal,4.4377862576187825e-07,2.2188931288093912,True
184998,87658047,0.00010298277157903459,5.8776359424537687e-05,0.0001585063989408685,3,"(0,0,-1)",clean_cardinal,1.7448440980571959e-07,0.87242204902859799,True
184999,87658048,0.00010318277157903459,5.8776359424537687e-05,0.0001585063989408685,3,"(0,0,-1)",clean_cardinal,2.6193508428444111e-07,1.3096754214222057,True
185004,87658053,0.00010338277157903459,5.8576359424537689e-05,0.0001585063989408685,3,"(0,0,-1)",clean_cardinal,5.1599924151876492e-07,2.5799962075938248,True
185005,87658054,0.00010358277157903459,5.8576359424537689e-05,0.0001585063989408685,3,"(0,0,-1)",clean_cardinal,5.5229154040598586e-07,2.7614577020299294,True
185006,87658055,0.00010338277157903459,5.8776359424537687e-05,0.0001585063989408685,3,"(0,0,-1)",clean_cardinal,3.2139233145936188e-07,1.6069616572968095,True
185007,87658056,0.00010358277157903459,5.8776359424537687e-05,0.0001585063989408685,3,"(0,0,-1)",clean_cardinal,3.5373471348680056e-07,1.7686735674340028,True
185043,87658870,0.0001027827715790346,5.8976359424537685e-05,0.0001585063989408685,7,"(0,-1,-1)",diagonal,1.0035396185821274e-07,0.50176980929106374,False
185061,87658925,0.00010298277157903459,5.8976359424537685e-05,0.0001585063989408685,3,"(0,0,-1)",clean_cardinal,3.3325066849669861e-09,0.016662533424834931,False
185062,87658926,0.00010318277157903459,5.8976359424537685e-05,0.0001585063989408685,9,"(0,1,-1)",diagonal,7.3215661938533761e-08,0.3660783096926688,True
185063,87658928,0.00010318277157903459,5.917635942453769e-05,0.0001585063989408685,7,"(0,-1,-1)",diagonal,1.1550376040737809e-07,0.57751880203689043,False
185068,87658933,0.00010338277157903459,5.8976359424537685e-05,0.0001585063989408685,3,"(0,0,-1)",clean_cardinal,1.2678542139995575e-07,0.63392710699977872,True
185069,87658934,0.00010358277157903459,5.8976359424537685e-05,0.0001585063989408685,3,"(0,0,-1)",clean_cardinal,1.5378926311587869e-07,0.76894631557939352,True
185070,87658935,0.00010338277157903459,5.917635942453769e-05,0.0001585063989408685,3,"(0,0,-1)",clean_cardinal,6.833671037386268e-08,0.34168355186931343,False
185071,87658936,0.00010358277157903459,5.917635942453769e-05,0.0001585063989408685,3,"(0,0,-1)",clean_cardinal,4.615618725504345e-08,0.23078093627521726,False
185072,87763042,0.0001027827715790346,5.6176359424537685e-05,0.00015870639894086848,9,"(0,1,-1)",diagonal,6.3060433790890776e-08,0.3153021689544539,False
185073,87763043,0.00010258277157903459,5.6376359424537689e-05,0.00015870639894086848,18,"(1,1,0)",diagonal,2.7331936052248829e-08,0.13665968026124414,False
185074,87763044,0.0001027827715790346,5.6376359424537689e-05,0.00015870639894086848,15,"(-1,-1,0)",diagonal,1.0144542763185959e-07,0.50722713815929799,True
185075,87763084,0.00010318277157903459,5.5976359424537686e-05,0.00015870639894086848,9,"(0,1,-1)",diagonal,7.5508560708726638e-08,0.37754280354363323,False
185076,87763091,0.00010338277157903459,5.5976359424537686e-05,0.00015870639894086848,11,"(-1,0,-1)",diagonal,2.7604249298826957e-08,0.1380212464941348,False
185077,87763092,0.00010358277157903459,5.5976359424537686e-05,0.00015870639894086848,3,"(0,0,-1)",clean_cardinal,3.2115302214837876e-09,0.016057651107418938,False
185078,87763097,0.00010298277157903459,5.6176359424537685e-05,0.00015870639894086848,3,"(0,0,-1)",clean_cardinal,3.6502782579556601e-08,0.18251391289778301,True
185079,87763098,0.00010318277157903459,5.6176359424537685e-05,0.00015870639894086848,7,"(0,-1,-1)",diagonal,1.1609090535852815e-07,0.58045452679264076,True
185080,87763146,0.00010238277157903459,5.6576359424537688e-05,0.00015870639894086848,18,"(1,1,0)",diagonal,4.238634936235582e-08,0.21193174681177912,False
185081,87763147,0.0001021827715790346,5.6776359424537686e-05,0.00015870639894086848,12,"(1,0,-1)",diagonal,1.0322111164859536e-07,0.51610555824297688,False
185082,87763148,0.00010238277157903459,5.6776359424537686e-05,0.00015870639894086848,7,"(0,-1,-1)",diagonal,6.9968971706274809e-08,0.34984485853137404,True
185083,87763153,0.00010258277157903459,5.6576359424537688e-05,0.00015870639894086848,15,"(-1,-1,0)",diagonal,1.124814145389566e-07,0.56240707269478307,True
185084,87763161,0.0001021827715790346,5.697635942453769e-05,0.00015870639894086848,3,"(0,0,-1)",clean_cardinal,2.0947002297207856e-08,0.10473501148603928,False
185085,87763163,0.0001021827715790346,5.7176359424537689e-05,0.00015870639894086848,3,"(0,0,-1)",clean_cardinal,3.9382145845240425e-08,0.19691072922620215,True
185086,87770185,0.0001021827715790346,5.7376359424537687e-05,0.00015870639894086848,3,"(0,0,-1)",clean_cardinal,7.58747980869878e-08,0.37937399043493902,True
185087,87770187,0.0001021827715790346,5.7576359424537685e-05,0.00015870639894086848,3,"(0,0,-1)",clean_cardinal,8.7347215301183244e-08,0.43673607650591623,True
185088,87770201,0.0001021827715790346,5.777635942453769e-05,0.00015870639894086848,3,"(0,0,-1)",clean_cardinal,7.1160084264859298e-08,0.35580042132429651,True
185089,87770203,0.0001021827715790346,5.7976359424537688e-05,0.00015870639894086848,3,"(0,0,-1)",clean_cardinal,2.812268255023439e-08,0.14061341275117195,True
185090,87770313,0.0001021827715790346,5.8176359424537686e-05,0.00015870639894086848,9,"(0,1,-1)",diagonal,3.8002687809257669e-08,0.19001343904628834,False
185091,87770315,0.0001021827715790346,5.8376359424537684e-05,0.00015870639894086848,12,"(1,0,-1)",diagonal,1.2501166072433246e-07,0.62505830362166237,False
185092,87770316,0.00010238277157903459,5.8376359424537684e-05,0.00015870639894086848,16,"(-1,1,0)",diagonal,4.6849242586006697e-08,0.2342462129300335,True
185093,87770330,0.00010238277157903459,5.8576359424537689e-05,0.00015870639894086848,7,"(0,-1,-1)",diagonal,7.5350371349922088e-08,0.37675185674961048,False
185094,87770337,0.00010258277157903459,5.8576359424537689e-05,0.00015870639894086848,9,"(0,1,-1)",diagonal,8.297604575699163e-08,0.41488022878495817,True
185095,87770339,0.00010258277157903459,5.8776359424537687e-05,0.00015870639894086848,12,"(1,0,-1)",diagonal,5.9954745051603654e-08,0.29977372525801826,False
