global_edge_id,parent_node_id,child_node_id,length_um,radius_parent_um,radius_child_um,resistance_pa_s_m3,flow_rate_m3_s,flow_rate_pL_s,mean_velocity_parent_mm_s,mean_velocity_child_mm_s,flow_sign_parent_to_child
5800,8210,8211,1.7992498436848743,4.6604,4.5968,34475691604390.363,2.9452065531391874e-17,0.029452065531391874,0.0004316378277501421,0.0004436644880235325,1
5801,8211,8212,1.78787583461492,4.5968,4.5065,36640057831611.766,2.945206553139543e-17,0.02945206553139543,0.0004436644880235861,0.0004616226763974663,1
5802,8212,8213,1.7496856860590626,4.5065,4.495,37495109502237.67,2.945206553139376e-17,0.02945206553139376,0.0004616226763974402,0.0004639877271706168,1
5803,8213,8214,1.723977958095765,4.495,4.464,37651532977307.99,2.9452065531381e-17,0.029452065531381,0.0004639877271704158,0.0004704543771102427,1
5804,8214,8215,1.7358859409534908,4.464,4.3927,39700780051543.71,2.9452065531377317e-17,0.029452065531377317,0.0004704543771101838,0.0004858506602584494,1
5805,8215,8216,1.5120185184051147,4.3927,4.4063,35489433388528.164,2.9452065531372824e-17,0.029452065531372824,0.0004858506602583753,0.00048285614246231537,1
5806,8216,8217,1.5629459363650435,4.4063,4.339,37601278267293.94,2.9452065531364405e-17,0.029452065531364407,0.0004828561424621773,0.0004979509728205767,1
5807,8217,8218,1.5423683088030442,4.339,4.3594,37906206425080.85,2.945206553135882e-17,0.02945206553135882,0.0004979509728204824,0.0004933015109776777,1
5808,8218,8219,1.611241757155034,4.3594,4.3531,39342510455834.21,2.9452065531349133e-17,0.029452065531349134,0.0004933015109775154,0.0004947303999954691,1
5809,8219,8220,1.8813824704190296,4.3531,4.3593,45940780444972.13,2.9452065531370266e-17,0.029452065531370267,0.0004947303999958242,0.0004933241433807329,1
5810,8220,8221,2.2993042425916608,4.3593,4.328,56799919947534.3,2.9452065531367635e-17,0.029452065531367633,0.0004933241433806888,0.0005004853634998075,1
5811,8221,8222,2.989464835049902,4.328,4.3215,75145334586877.06,2.945206553136603e-17,0.02945206553136603,0.0005004853634997802,0.0005019920632150878,1
5812,8222,8223,3.121922484623864,4.3215,4.2539,81239323442014.19,2.9452065531368356e-17,0.029452065531368355,0.0005019920632151274,0.0005180734456772927,1
5813,8223,8224,2.2323306206742775,4.2539,4.1988,61533267577516.83,2.945206553136103e-17,0.029452065531361028,0.0005180734456771638,0.0005317598072725769,1
5814,8224,8225,1.6621973408714077,4.1988,4.132,48562450919589.88,2.945206553136745e-17,0.02945206553136745,0.0005317598072726928,0.0005490921813437725,1
5815,8225,8226,1.6056462873248298,4.132,4.087,49509566311473.62,2.945206553135817e-17,0.02945206553135817,0.0005490921813435995,0.000561250330822363,1
5816,8226,8227,1.6762159765376272,4.087,4.0158,54723396740974.72,2.9452065531345164e-17,0.029452065531345165,0.0005612503308221152,0.0005813286601022744,1
5817,8227,8228,1.6517869111964836,4.0158,3.9263,58434352169055.58,2.945206553135658e-17,0.02945206553135658,0.0005813286601024997,0.0006081334965044404,1
5818,8228,8229,1.7289303051308944,3.9263,3.9188,64217980270305.61,2.9452065531343556e-17,0.029452065531343555,0.0006081334965041715,0.0006104634780100234,1
5819,8229,8230,1.7576404638036738,3.9188,3.8352,68433209460664.305,2.9452065531355654e-17,0.029452065531355653,0.000610463478010274,0.0006373674082000166,1
5820,8230,8231,1.7060187572239585,3.8352,3.7793,71411478869656.38,2.945206553136886e-17,0.02945206553136886,0.0006373674082003023,0.000656361577994817,1
5821,8231,8232,1.512911101155657,3.7793,3.7667,65648077165661.914,2.945206553136403e-17,0.02945206553136403,0.0006563615779947092,0.000660760116845662,1
5822,8232,8233,1.380796871375366,3.7667,3.772,60147341095705.29,2.9452065531364424e-17,0.029452065531364424,0.0006607601168456709,0.0006589045663226888,1
5823,8233,8234,1.3629746879527815,3.772,3.6934,61760060028040.48,2.9452065531361694e-17,0.029452065531361694,0.0006589045663226278,0.0006872475427795235,1
5824,8234,8235,1.262695529413182,3.6934,3.6762,60228580984024.75,2.945206553136102e-17,0.02945206553136102,0.0006872475427795077,0.0006936934981974053,1
5825,8235,8236,1.3325539388707588,3.6762,3.6908,63650170522796.49,2.945206553136606e-17,0.029452065531366062,0.000693693498197524,0.0006882161528295204,1
5826,8236,8237,1.334765897077077,3.6908,3.7614,60907222568897.125,2.945206553136062e-17,0.02945206553136062,0.0006882161528293932,0.0006626235165827487,1
5827,8237,8238,1.5618258545689419,3.7614,3.8517,65442806411645.945,2.945206553136473e-17,0.029452065531364733,0.0006626235165828413,0.00063191836663875,1
5828,8238,8239,1.9403350226185199,3.8517,3.9982,71977420380517.31,2.9452065531350896e-17,0.029452065531350897,0.0006319183666384532,0.0005864579200679479,1
5829,8239,8240,1.960255085441695,3.9982,4.1086,63893255558145.305,2.945206553135993e-17,0.02945206553135993,0.0005864579200681278,0.0005553645594094204,1
5830,8240,8241,1.5312739794040746,4.1086,4.2794,43580411542781.3,2.945206553135521e-17,0.02945206553135521,0.0005553645594093314,0.0005119176703220605,1
5831,8241,8242,1.3180667661389547,4.2794,4.4809,31542734668821.184,2.9452065531344536e-17,0.029452065531344537,0.000511917670321875,0.00046691237183087327,1
5832,8242,8243,1.5305227865014004,4.4809,4.6908,30483903930058.32,2.945206553133612e-17,0.029452065531336117,0.0004669123718307398,0.0004260612649854058,1
5833,8243,8244,1.7197964995894077,4.6908,4.901,28631476462226.598,2.9452065531309733e-17,0.029452065531309732,0.0004260612649850241,0.00039029813890417947,1
5834,8244,8245,1.7614198817999016,4.901,5.346,22619350000183.816,2.9452065531305234e-17,0.029452065531305235,0.00039029813890411984,0.00032802577979246933,1
5835,8245,8246,1.7647662734764755,5.346,5.5761,17473383502071.963,2.945206553129148e-17,0.02945206553129148,0.00032802577979231613,0.00030151212262074275,1
5836,8246,8247,1.7787917247390115,5.5761,5.6152,15954837590714.314,2.945206553130273e-17,0.029452065531302734,0.00030151212262085795,0.0002973277378334567,1
5837,8247,8248,1.9215098230297925,5.6152,5.636,16870344279228.73,2.9452065531309955e-17,0.029452065531309954,0.00029732773783352963,0.0002951371753906883,1
5838,8248,8249,1.9938154377975847,5.636,5.517,18136552095738.465,2.9452065531330614e-17,0.029452065531330614,0.0002951371753908953,0.0003080065253891499,1
5839,8249,8250,2.1702764800826744,5.517,5.329,22087341099789.285,2.945206553134954e-17,0.02945206553134954,0.0003080065253893478,0.0003301219828073654,1
5840,8250,8251,2.4293414745564275,5.329,5.2354,27446983962640.15,2.945206553140173e-17,0.029452065531401728,0.00033012198280795037,0.00034203153392788765,1
5841,8251,8252,2.6159701833163123,5.2354,4.9671,34047056816224.914,2.94520655314099e-17,0.0294520655314099,0.0003420315339279826,0.0003799794225468716,1
5842,8252,8253,1.4039230748157157,4.9671,4.7495,22196472709826.668,2.945206553139222e-17,0.029452065531392218,0.00037997942254664347,0.0004155947966120869,1
5843,8253,8254,1.5923567439490336,4.7495,4.6847,28285256582546.82,2.945206553139618e-17,0.02945206553139618,0.00041559479661214277,0.0004271715455987855,1
5844,8254,8255,2.1695391215647577,4.6847,4.5125,42709480331628.96,2.9452065531374365e-17,0.029452065531374364,0.000427171545598469,0.00046039590867077187,1
5845,8255,8256,2.7519629357969335,4.5125,4.2998,64328117085613.27,2.945206553135821e-17,0.02945206553135821,0.0004603959086705193,0.0005070717020123726,1
5846,8256,8257,3.2731177797323268,4.2998,4.0622,94441297468516.86,2.945206553135164e-17,0.029452065531351643,0.0005070717020122595,0.0005681241905227927,1
5847,8257,8258,3.179245193438224,4.0622,3.8786,112697123267077.25,2.945206553135133e-17,0.029452065531351327,0.0005681241905227866,0.0006231834327861788,1
5848,8258,8259,2.178531615561268,3.8786,3.5398,101910009326095.75,2.945206553135212e-17,0.02945206553135212,0.0006231834327861955,0.0007481840328310325,1
5849,8259,8260,1.649515080258444,3.5398,3.3743,101745470230766.89,2.945206553136095e-17,0.029452065531360948,0.0007481840328312567,0.0008233765643217079,1
5850,8260,8261,1.761505038312419,3.3743,3.2212,131203367838547.86,2.945206553135573e-17,0.029452065531355726,0.0008233765643215619,0.0009035048841067068,1
5851,8261,8262,2.0057168294651997,3.2212,3.0935,177714401837247.22,2.945206553135681e-17,0.029452065531356812,0.00090350488410674,0.0009796380489938202,1
5852,8262,8263,2.061771083316471,3.0935,2.9434,218852478600036.06,2.9452065531353226e-17,0.029452065531353225,0.000979638048993701,0.0010820997939525515,1
5853,8263,8264,2.0763429389193124,2.9434,2.8079,267491818175122.28,2.9452065531352073e-17,0.029452065531352073,0.001082099793952509,0.0011890568295898512,1
5854,8264,8265,2.105801510114381,2.8079,2.627,340821957068878.2,2.9452065531353145e-17,0.029452065531353145,0.0011890568295898944,0.0013584565115595676,1
5855,8265,8266,2.112463017427751,2.627,2.4607,445166334914051.5,2.945206553135158e-17,0.02945206553135158,0.0013584565115594954,0.0015482765886600555,1
5856,8266,8267,2.2415619554230415,2.4607,2.3055,613294611126329.0,2.945206553135314e-17,0.029452065531353138,0.0015482765886601375,0.0017637443368946951,1
5857,8267,8268,2.520337279016451,2.3055,2.1605,894503982822509.9,2.9452065531353577e-17,0.029452065531353575,0.0017637443368947211,0.0020084329796421535,1
5858,8268,8269,3.0850283629166175,2.1605,1.9367,1555632917723630.8,2.945206553135385e-17,0.02945206553135385,0.002008432979642172,0.002499431162973786,1
5859,8269,8270,3.119118465207762,1.9367,1.849,2140404948933209.2,2.945206553135391e-17,0.02945206553135391,0.002499431162973791,0.002742155401020068,1
5860,8270,8271,2.107273119460314,1.849,1.7789,1713609823789695.0,2.945206553135394e-17,0.02945206553135394,0.002742155401020071,0.0029625303975311735,1
5861,8271,8272,1.4150618361046983,1.7789,1.7266,1319378983214439.0,2.945206553135423e-17,0.02945206553135423,0.002962530397531203,0.00314472311030552,1
5862,8272,8273,1.4093260800822365,1.7266,1.6994,1439544428987799.8,2.945206553135419e-17,0.029452065531354186,0.003144723110305515,0.0032461953969350516,1
5863,8273,8274,1.562753979358238,1.6994,1.6834,1679149944292865.8,2.945206553135421e-17,0.02945206553135421,0.0032461953969350546,0.0033081960574885667,1
5864,8274,8275,1.5768956845650937,1.6834,1.6732,1747791969185536.8,2.945206553135471e-17,0.02945206553135471,0.0033081960574886226,0.003348653207884237,1
5865,8275,8276,1.581075583266019,1.6732,1.6569,1808964244721818.5,2.945206553135433e-17,0.029452065531354328,0.0033486532078841934,0.003414863035524309,1
5866,8276,8277,1.6414932226482202,1.6569,1.6697,1885949077263003.2,2.94520655313544e-17,0.029452065531354404,0.0034148630355243176,0.003362706714707411,1
